"Subject","n_trials","n_explores","n_corrects","n_selects","n_outoftimes","tm_accuracy","tm_select_made","tm_nodesturns_count","tm_nodes_count","tm_turns_count","tm_average_RT","tm_trial_duration","tm_path_dist_trav","tm_euc_dist_trav","tm_path_efficiencies","ts_accuracy","ts_select_made","ts_nodesturns_count","ts_nodes_count","ts_turns_count","ts_average_RT","ts_trial_duration","ts_path_dist_trav","ts_euc_dist_trav","ts_path_efficiencies","em_accuracy","em_select_made","em_turns_count","em_average_RT","em_trial_duration","em_path_dist_trav","em_euc_dist_trav","em_path_efficiencies","es_accuracy","es_select_made","es_turns_count","es_average_RT","es_trial_duration","es_path_dist_trav","es_euc_dist_trav","es_path_efficiencies","enodes_A","enodes_B","enodes_C","enodes_D","enodes_E","enodes_F","enodes_G","enodes_H","enodes_I","enodes_J","enodes_K","enodes_L","enodes_M","enodes_N","enodes_O","enodes_P","enodes_Q","enodes_R","enodes_S","enodes_T","enodes_U","enodes_V","enodes_W","enodes_X","enodes_Y","enodes_Z","lm_bwstair","lm_person","lm_philsbar","lm_starrynight","obj_chair","obj_chicken","obj_clock","obj_guitar","obj_lamp","obj_snowman","obj_spaceship","obj_trophy","obj_umbrella"
"301","24","2","4","19","7","0.166666666666667","0.791666666666667","10.9583333333333","6.41666666666667","4.54166666666667","924.770622201872","31691.5","18.2916666666667","7.59423163397287","0.963430375653507","0.380693493813441","0.414851116999053","4.11232682116317","2.26344613494492","2.24536559755125","583.928739509949","12063.7104646088","8.78198089304441","3.73650325577489","0.487322725512339","NaN","0","53.5","1227.19732760678","1847483.5","250.625","10.6990931232325","NaN",NA,"0","3.53553390593274","59.9321504142099","362414.145668322","0.176776695296637","1.57997236710039",NA,"6","15","23","17","15","9","15","17","4","12","2","6","16","0","3","6","12","17","8","14","14","4","3","13","0","10","18","17","30","29","3","3","3","3","2","4","3","3","2"
"306","24","2","0","17","9","0","0.708333333333333","11.1666666666667","6.125","5.04166666666667","1318.86264117827","38289.9166666667","18.6770833333333","9.02519867570474","0.924887128402744","0","0.464305621487537","2.80785647265214","1.22696160600432","1.96666052565978","471.074131278751","9408.92646427556","5.94333713839117","3.37372476865981","0.324869190770442","NaN","0","50.5","2149.27400308839","1982062.5","178","9.72655939851732","NaN",NA,"0","0.707106781186548","343.042362941279","356589.000004908","22.6274169979695","2.24456778338936",NA,"6","9","21","17","7","8","11","14","4","9","2","6","8","4","2","2","8","12","6","15","12","8","1","16","2","2","15","9","16","24","1","2","1","3","2","4","3","2","4"
"310","24","2","1","8","18","0.0416666666666667","0.333333333333333","12.75","6.5","6.25","1054.28671525234","43293.9583333333","21.46875","7.87904332246812","1.2428126380689","0.204124145231932","0.481543412343077","2.11104754544525","1.17953564923918","1.510830465556","304.746611896532","8236.42224184837","5.3792639810908","3.54265149867266","0.758892902119135","NaN","0","68.5","1065.19421647998","2105629.5","221.25","7.80454823060024","NaN",NA,"0","16.2634559672906","173.217047457553","357495.510898389","7.77817459305202","1.51758157357992",NA,"4","8","15","11","16","10","16","18","4","12","3","4","13","2","2","0","19","24","4","30","15","12","3","24","2","0","20","20","32","27","0","3","3","2","3","3","2","2","6"
"312","24","2","2","16","10","0.0833333333333333","0.666666666666667","12.5","6.5","6","796.485169633607","36871.2916666667","18.8125","6.67260765414431","1.01567230112556","0.28232985128664","0.481543412343077","3.02166093111201","1.50361882311222","2.20670913746948","220.890378929796","9526.20702601703","5.8696205713976","3.65826265639209","0.506177915296537","NaN","0","65.5","1118.29427083333","1936757","212.625","9.3378041543165","NaN",NA,"0","2.12132034355964","220.090668492131","360187.466414366","1.59099025766973","9.31656198129221",NA,"4","7","6","2","10","3","10","10","1","6","1","4","21","0","4","10","10","23","10","30","25","18","4","30","2","17","22","18","27","21","5","1","4","2","1","1","2","4","9"
"313","24","2","5","20","6","0.208333333333333","0.833333333333333","14.1666666666667","7.25","6.91666666666667","553.250427636089","38340.7916666667","22.53125","8.76193320804863","1.19274808104565","0.414851116999053","0.380693493813441","2.46129458100666","1.11316235778192","1.99818758458469","202.562085431964","6794.82338753213","5.72955367599318","3.06751659210051","0.544035843509114","NaN","0","70","652.136583011583","1934824","254.375","11.2183845161358","NaN",NA,"0","0","73.9520392227612","354384.948167949","7.95495128834866","3.37019253103574",NA,"3","12","5","13","17","12","16","16","1","26","5","8","20","2","3","2","8","28","11","20","23","10","6","19","2","2","22","20","29","39","1","4","6","2","5","1","4","3","5"
"315","24","2","3","20","6","0.125","0.833333333333333","11.9583333333333","6.79166666666667","5.16666666666667","579.959827189423","32284.4583333333","19.8229166666667","8.32376588950159","1.0988845220318","0.337831962346088","0.380693493813441","4.51547259471511","1.99954705015839","2.80785647265214","192.069014065308","11907.9351730325","7.58949472979744","3.61515898984359","0.677641763405059","NaN","0","65.5","678.443909538737","1786744.5","276.5","6.90815114904825","NaN",NA,"0","0.707106781186548","73.496514172165","342107.453126207","17.6776695296637","6.94117392116113",NA,"0","6","5","8","18","10","12","12","0","9","2","6","30","2","6","12","16","23","19","32","21","7","4","25","2","14","26","29","32","24","6","3","4","0","2","0","3","6","4"
"319","24","2","1","8","18","0.0416666666666667","0.333333333333333","14.0416666666667","6.625","7.41666666666667","1113.97589147304","44512","22.3854166666667","7.70006604744569","1.25529740612081","0.204124145231932","0.481543412343077","2.6123314036161","0.923721207705668","2.08340579584125","462.156724580303","5274.33995870573","4.55699364967611","3.15076311501349","0.636123386575649","NaN","0","71","1251.20005699629","2123732.5","207","9.29466716353861","NaN",NA,"0","18.3847763108502","232.945437320236","365914.324235196","1.06066017177982","0.77027568965558",NA,"6","14","17","24","15","11","12","14","4","18","2","2","13","2","2","6","12","23","7","10","19","8","2","19","0","6","20","17","28","39","3","4","2","3","2","4","1","2","4"
"320","24","2","15","22","4","0.625","0.916666666666667","12.8333333333333","7.70833333333333","5.125","830.763375686813","37139.5833333333","22.625","9.19503343271286","1.02670540586927","0.49453535504684","0.28232985128664","2.91423293907478","1.94442719108978","1.48360606514052","712.420997196466","7692.7259312693","6.73569337317186","3.86712815649288","0.262237148662249","NaN","0","52","988.399305178591","1988408","274.25","3.40036762718386","NaN",NA,"0","11.3137084989848","283.135811344511","341908.756120694","16.6170093578839","4.80884601541783",NA,"6","10","17","14","13","15","15","15","3","8","1","6","8","6","2","8","12","15","8","22","19","8","5","23","8","8","16","11","28","25","4","4","5","3","1","3","3","2","4"
"321","24","2","5","8","18","0.208333333333333","0.333333333333333","15.3333333333333","7.91666666666667","7.41666666666667","621.092557357539","43651.6666666667","24.90625","9.32433376084323","1.21967455403467","0.414851116999053","0.481543412343077","2.59877340074232","1.74247866100506","2.12473357238577","164.015619473651","6976.91323092699","6.09383709525273","3.48553344425572","0.411168664122933","NaN","0","76.5","548.747317899491","2089580.5","272.375","10.1300999176196","NaN",NA,"0","4.94974746830583","95.6422810196324","355808.354118478","1.59099025766973","3.01241619270745",NA,"6","13","18","16","28","17","21","18","2","15","3","8","18","6","2","6","12","27","4","19","20","6","5","15","6","6","20","22","32","40","3","5","5","3","3","2","4","2","3"
"322","24","2","2","18","8","0.0833333333333333","0.75","10.9166666666667","6.20833333333333","4.70833333333333","1532.62118749986","37563.2083333333","17.5729166666667","7.52173124963018","0.98366108964428","0.28232985128664","0.442325868464691","3.64651908664624","1.74403746137136","2.29326360696159","741.849309259752","9572.90047354767","5.84746283083279","4.2521243601189","0.584665657446927","NaN","0","64.5","1239.90886026542","1960953.5","230.75","11.9861452880585","NaN",NA,"0","13.4350288425444","161.360829073698","360172.617171961","13.4350288425444","0.199103659195792",NA,"6","14","14","16","29","18","13","17","2","9","2","2","25","2","3","2","9","20","10","17","11","8","2","16","2","2","25","24","20","33","1","6","2","3","2","2","1","3","4"
"323","24","2","7","20","6","0.291666666666667","0.833333333333333","11.7083333333333","6.375","5.33333333333333","968.623361418674","35629.0416666667","19.2916666666667","7.58315803640009","1.02341749111816","0.464305621487537","0.380693493813441","3.68875101599051","1.83711730708738","2.27780723440362","398.175588710241","9447.96184820541","7.82438588598195","4.32458663860056","0.531801903022248","NaN","0","64","979.29104477612","1869507","233.5","8.21654446980818","NaN",NA,"0","0","122.033965833733","354150.188716595","3.53553390593274","1.36080636070279",NA,"8","15","15","12","12","9","23","23","3","21","4","8","12","2","2","6","16","13","6","13","6","14","1","21","6","5","19","16","20","29","3","3","1","4","4","3","4","2","7"
"324","24","2","1","7","19","0.0416666666666667","0.291666666666667","15.2916666666667","7.625","7.66666666666667","658.516926568479","42959.9166666667","23.84375","8.41936735370804","1.39439661156453","0.204124145231932","0.464305621487537","3.79334848829147","2.01758572901204","2.79232903671386","231.991009937611","10110.7496342589","6.43057088039826","4.40259103907829","1.00176806544908","NaN","0","69.5","882.83388030888","2062176","242.5","1.5","NaN",NA,"0","2.12132034355964","61.7229141070515","354278.882150771","24.0416305603426","2.12132034355964",NA,"9","17","14","18","16","12","25","22","2","20","4","10","13","0","3","4","14","25","10","12","10","8","2","16","0","4","21","19","33","29","2","4","2","5","4","2","5","3","4"
"325","24","2","24","24","2","1","1","12.9583333333333","7.70833333333333","5.25","529.623153507712","32930.8333333333","21.4583333333333","9.57080874912733","1.01675191815857","0","0","2.6123314036161","1.62799334115364","1.32697760539407","533.732438509342","4706.18829116346","5.24387150927605","3.30983959484617","0.0594352711913922","NaN","0","60.5","931.210955710956","1797383.5","257.875","9.35743448791475","NaN",NA,"0","3.53553390593274","212.390812362133","349563.187027038","7.95495128834866","6.86944973114785",NA,"6","10","17","19","18","11","15","13","4","18","4","6","19","4","4","4","14","21","12","16","14","4","4","14","2","4","19","24","25","33","2","3","4","3","4","4","3","4","2"
"326","24","2","2","14","12","0.0833333333333333","0.583333333333333","13.0833333333333","6.66666666666667","6.41666666666667","994.075925102947","39878.25","20.1770833333333","8.35168583403438","1.23757862697088","0.28232985128664","0.503610155185335","3.25598668230727","1.40392823632607","2.46570682460984","330.209487885008","7947.40024897396","5.75660262063346","3.65002530968084","0.911761263247145","NaN","0","69.5","1063.59363097758","1986016.5","219.25","10.2606619992301","NaN",NA,"0","0.707106781186548","8.60243427514259","360878.309739585","7.77817459305202","1.14570095361378",NA,"8","14","23","22","15","12","21","20","5","16","4","5","13","0","3","4","10","19","9","18","11","4","2","13","0","6","22","16","26","32","2","4","2","4","4","5","2","3","2"
"327","24","2","1","11","15","0.0416666666666667","0.458333333333333","13.3333333333333","6.79166666666667","6.54166666666667","977.852338990666","41187.7083333333","21.1458333333333","8.62310033244817","1.20854788278127","0.204124145231932","0.508977377704051","3.2659863237109","1.74403746137136","2.46680865239609","334.503737268183","8358.14126663166","6.44243602095186","3.30783901451487","0.643501916569849","NaN","0","70","1073.36078746485","2024957.5","204.25","5.5","NaN",NA,"0","1.4142135623731","56.0367209222556","366035.94660156","15.2027957955108","2.82842712474619",NA,"2","7","18","15","18","10","9","6","3","16","4","4","19","2","4","6","11","35","13","18","10","10","2","18","0","6","27","28","25","30","3","3","2","1","4","3","2","4","5"
"328","8","2","1","3","6","0.125","0.428571428571429","11","6","5","851.663417931275","39953.7142857143","19.65625","8.25877391171486","1.50553074441072","0.353553390593274","0.534522483824849","4.65985898008574","2.77746029931765","2.82842712474619","265.46489305089","9935.30399995031","10.4145652642276","4.55370693268404","0.861549770902969","NaN","0","78.5","1018.45240461049","NaN","209.75","11.5462547140559","NaN",NA,"0","2.12132034355964","390.379854631184",NA,"42.4264068711929","3.77399048174245",NA,"8","8","19","10","17","9","30","22","3","16","3","8","15","0","2","4","17","31","10","20","9","6","2","13","0","4","28","27","21","29","2","3","2","4","3","3","4","2","3"
"330","24","2","12","12","14","0.5","0.5","13.625","6.79166666666667","6.83333333333333","893.955949340692","41181.9166666667","20.4166666666667","8.84925716175128","1.08259760346157","0.510753918455249","0.510753918455249","2.61787334864871","1.47380509202383","2.27780723440362","373.627136513127","7410.49022562327","4.59895230664992","2.63711423673556","0.271299221838525","NaN","0","70.5","1138.01614022909","1999370.5","194.5","7.78909580533375","NaN",NA,"0","6.36396103067893","262.264457058089","352706.983776193","25.809397513309","7.12635763000036",NA,"4","8","14","7","12","7","24","16","2","12","2","6","18","2","3","12","9","16","7","18","17","10","3","23","0","13","16","16","21","26","6","2","3","2","2","2","3","3","5"
"332","24","2","2","16","10","0.0833333333333333","0.666666666666667","12.25","6.5","5.75","884.042161310912","39095.875","19.8854166666667","6.60988438241804","1.13857473243104","0.28232985128664","0.481543412343077","3.08220700148449","1.56037899521099","1.91674543001366","376.025106095172","9126.63069556673","6.32927084142067","3.8461656955511","0.511461623360932","NaN","0","67","992.226923327471","1967343","201","5.80384362846499","NaN",NA,"0","4.24264068711928","100.872598621638","360500.00761165","8.83883476483184","0.0761463896225737",NA,"2","6","14","13","20","12","13","17","3","10","1","6","20","2","3","2","15","21","4","20","20","8","2","14","0","2","18","22","28","23","1","4","2","1","1","3","3","3","4"
"333","24","2","5","16","10","0.208333333333333","0.666666666666667","12.9583333333333","6.875","6.08333333333333","609.907617379216","35654.1666666667","21.6145833333333","7.75498189840901","1.21250217871177","0.414851116999053","0.481543412343077","3.68875101599051","1.94069687169998","2.51805077592667","311.539548987589","11271.9012927555","7.69351052294508","3.26765198328124","0.567195617176318","NaN","0","66","822.819068255688","2090136","248.25","12.5822295321616","NaN",NA,"0","4.24264068711928","178.805318001493","354305.752208456","24.7487373415292","0",NA,"10","11","15","10","17","10","27","21","3","10","2","10","17","2","4","8","9","23","10","15","14","6","2","21","2","8","22","17","24","28","4","3","2","5","2","3","5","4","3"
"334","24","2","4","15","11","0.166666666666667","0.625","12","6.04166666666667","5.95833333333333","972.179712243775","37305.75","18.3958333333333","7.49093992786512","0.949969991897192","0.380693493813441","0.49453535504684","3.07867842906095","1.51741102931409","1.92193667421956","470.262061254284","9980.75248208749","6.67853336976125","3.56315478150903","0.415602670968434","NaN","0","55.5","1661.48165137615","1960449.5","177.25","9.5","NaN",NA,"0","2.12132034355964","216.536855497488","391167.935818492","11.667261889578","2.12132034355964",NA,"4","12","11","13","18","12","14","19","1","6","1","4","11","2","2","4","14","8","2","18","12","8","1","19","0","4","15","13","23","22","2","4","1","2","1","1","2","2","4"
"335","12","2","1","5","8","0.0833333333333333","0.454545454545455","10.6666666666667","5.75","4.91666666666667","924.346413771414","38774.3636363636","18.2291666666667","8.19871754433962","1.01992430602631","0.288675134594813","0.522232967867094","3.02514712890384","1.60255477852765","2.19330938551907","513.729854799425","9826.8367674723","6.73310877588345","3.39364201703519","0.559058022810172","NaN","0","57.5","1161.6361662531","NaN","187.625","11.5571188444416","NaN",NA,"0","7.77817459305202","224.72178108477",NA,"4.7729707730092","3.30582940136167",NA,"6","10","10","17","13","4","13","14","2","18","3","2","18","2","4","4","7","22","10","12","15","2","5","11","2","4","18","16","30","24","2","1","4","3","3","2","1","4","1"
"336","24","2","4","13","13","0.166666666666667","0.541666666666667","12.5833333333333","6.70833333333333","5.875","983.980794263606","39587.9166666667","20.8854166666667","7.72205415010053","1.08964594780796","0.380693493813441","0.508977377704051","3.32208246195936","1.60106395784224","2.2710369208034","237.119772526415","10052.8367699465","6.46267677693914","3.49262958659073","0.472009714494295","NaN","0","52.5","1316.36140979689","1971263.5","203.25","7.7414706591222","NaN",NA,"0","10.6066017177982","278.233001421395","359729.968326938","1.06066017177982","4.58413176816507",NA,"4","2","12","9","12","9","8","10","3","6","1","0","13","2","1","11","15","16","6","21","11","14","2","29","2","15","17","15","23","21","6","3","2","2","1","3","0","1","7"
"337","24","2","0","12","14","0","0.5","10.5416666666667","5.625","4.91666666666667","1070.29538817664","39210.7916666667","18.5104166666667","7.73133560573113","1.03555661626275","0","0.510753918455249","3.0924756744559","1.73987755691126","1.66594187138705","280.8502462932","12732.186369093","7.27281984614584","4.27453172638624","0.464366399307523","NaN","0","45.5","1620.97674646782","1990197","175.125","9.31346641781745","NaN",NA,"0","3.53553390593274","424.571138434603","354563.139076808","17.1473394437738","3.97884236535869",NA,"6","8","10","7","4","4","18","16","1","7","1","6","4","2","1","2","10","14","5","18","12","14","2","20","6","6","17","10","21","18","1","1","2","3","1","1","3","1","7"
"338","24","2","0","15","11","0","0.625","10.8333333333333","5.75","5.08333333333333","1022.08993731962","37806.4583333333","17.8125","6.61537206400805","1.20078751772156","0","0.49453535504684","2.91423293907478","1.62186151770387","1.71734544059104","292.335290421771","10229.2129153593","6.35723227308182","4.55012880330737","0.691560066449004","NaN","0","49.5","1481.55178253119","1912750","183.375","4.15519253464867","NaN",NA,"0","12.0208152801713","160.509331965666","355097.711803385","0.176776695296637","5.87632963677158",NA,"6","8","11","9","14","7","16","12","1","15","3","8","12","2","2","8","8","14","8","10","10","6","1","15","0","8","12","15","22","19","4","2","1","3","3","1","4","2","3"
"339","24","2","1","15","11","0.0416666666666667","0.625","10.8333333333333","5.91666666666667","4.91666666666667","839.783276850465","35137.5","17.9375","8.56187041255032","1.01210099107879","0.204124145231932","0.49453535504684","4.07181902163241","1.93180849412436","2.32035729382664","535.095357386957","12425.291580867","7.97729454519949","3.57779991255673","0.49809194159271","NaN","0","61","766.752648305084","1891477","232.625","8.15519253464867","NaN",NA,"0","9.89949493661167","180.757916209779","357558.443401914","20.6828733497065","0.219475387279199",NA,"6","7","15","15","12","13","22","20","2","10","1","8","15","2","2","2","18","16","6","17","18","10","2","19","4","2","14","15","31","27","1","4","2","3","1","2","4","2","5"
"340","24","2","2","10","16","0.0833333333333333","0.416666666666667","11.25","5.41666666666667","5.83333333333333","1188.74329004329","42268.4166666667","17.1354166666667","6.77409913513305","0.989969639850513","0.28232985128664","0.503610155185335","2.89302008589489","1.6396358733272","1.63299316185545","741.677730892173","9287.144569437","6.33356275804897","4.55159046152553","0.366557272970131","NaN","0","61.5","1447.21135593221","2035542.5","150.875","8.34595618820872","NaN",NA,"0","9.19238815542512","296.205113061331","362186.45728478","11.8440385848747","0.0503051587932739",NA,"2","29","15","5","9","0","16","29","3","12","2","2","15","0","2","4","9","10","7","11","7","6","1","14","2","8","27","11","13","25","2","0","1","1","2","3","1","2","3"
"341","9","2","0","1","10","0","0.111111111111111","11","5.44444444444444","5.55555555555556","1178.52097902098","46841.375","18.2777777777778","9.36376816027899","0.8864145291474","0","0.333333333333333","3.64005494464026","2.185812841434","2.2973414586817","433.718596945077","3398.3634690623","7.30522548895272","3.94499069334942","0.481941274925859","NaN","0","52","1352.30777126099","NaN","179","7.75","NaN",NA,"0","9.89949493661167","176.067722251217",NA,"2.47487373415292","5.65685424949238",NA,"4","9","3","9","4","0","17","18","0","35","7","6","8","0","1","0","12","21","7","14","16","2","3","7","2","0","17","14","25","25","0","0","3","2","7","0","3","1","1"
"342","24","2","0","7","19","0","0.291666666666667","11.0833333333333","5.08333333333333","6","1367.57145863396","43236.7083333333","16.5520833333333","6.73007822320479","0.919645806181563","0","0.464305621487537","1.99818758458469","1.4116492564332","2.1058923544891","442.958498646003","7738.21780110374","4.7668346795666","3.15889104529528","0.504051491978136","NaN","0","53.5","1776.21349603671","2084198","147.625","0.625","NaN",NA,"0","7.77817459305202","157.83422796792","360426.468506407","18.9151063967401","0.883883476483184",NA,"2","7","15","5","6","9","13","11","2","5","1","4","12","2","2","6","11","24","6","15","12","4","2","14","2","6","20","17","16","23","3","3","2","1","1","2","2","2","2"
"343","24","2","0","14","12","0","0.583333333333333","10.4166666666667","5.375","5.04166666666667","974.509638162763","36241.75","16.9270833333333","5.99864805052382","0.909968468844801","0","0.503610155185335","3.33514443552256","1.49818731051605","1.94442719108978","730.74833071836","11690.9714709592","7.67317432140484","4.32108992683217","0.372516929162789","NaN","0","60","1266.95302510526","1911550","173.375","7.56346641781745","NaN",NA,"0","5.65685424949238","188.97067620909","362755.678243636","12.1975919754679","6.4537160995116",NA,"2","11","17","10","21","19","19","21","2","4","0","6","10","4","2","0","5","12","5","12","13","10","2","20","2","0","15","14","21","26","0","6","2","1","0","2","3","2","5"
"344","24","2","4","10","16","0.166666666666667","0.416666666666667","11.25","6","5.25","906.935935592186","39248.875","19.34375","8.75929976866794","1.04486183107152","0.380693493813441","0.503610155185335","3.35248123556011","1.74455675197729","2.02699177407653","313.230194450283","12867.3354469927","7.44465539979784","3.35429330017472","0.510366898343482","NaN","0","60.5","1297.30141625615","1983477.5","181.875","6.46438993767145","NaN",NA,"0","0.707106781186548","50.3025488446437","357851.892716107","10.0762716319083","3.83872706342403",NA,"6","10","15","19","14","7","17","16","1","14","1","6","15","2","3","2","8","21","6","10","12","8","2","11","0","4","17","11","24","31","1","2","2","3","1","1","3","3","4"
"345","24","2","2","15","11","0.0833333333333333","0.625","9.70833333333333","5.125","4.58333333333333","984.82081922707","34206.75","15.0625","6.77355508937285","0.836246262026093","0.28232985128664","0.49453535504684","3.97250514177758","1.7769661492702","2.74917642476665","372.217722593963","13973.81267337","7.47177660614756","3.17842478643492","0.404548150667874","NaN","0","50","1181.40031430513","1843076.5","193.5","15.1892573453304","NaN",NA,"0","8.48528137423857","128.879821564839","357175.898633292","26.1629509039023","1.95522955037467",NA,"4","6","7","5","9","7","9","10","1","11","2","2","17","2","4","8","10","24","11","16","14","9","3","18","2","8","18","16","22","23","4","2","3","2","2","1","1","4","4"
"346","24","2","2","11","15","0.0833333333333333","0.458333333333333","10.9583333333333","5.58333333333333","5.375","1079.71725832038","42700.5833333333","17.5625","8.29811108714229","0.996886426111102","0.28232985128664","0.508977377704051","2.45798020062544","1.52989532653215","1.88385589774756","330.611141058877","8342.8956755807","5.70480823135377","4.08944801872537","0.667282410166471","NaN","0","47","1980.1232257326","2121730","170.5","7.24632263825763","NaN",NA,"0","4.24264068711928","50.8994660471723","379754.52526336","9.54594154601839","1.96382698946468",NA,"4","4","6","6","12","17","21","20","0","2","0","6","7","6","1","2","15","13","11","12","17","0","3","2","0","2","14","14","10","21","1","5","3","2","0","0","3","1","0"
"347","24","2","0","11","15","0","0.458333333333333","10.7083333333333","5.58333333333333","5.125","1425.90101807914","42257.2083333333","17.1458333333333","8.34311896149103","0.860975912019099","0","0.508977377704051","2.17653826995523","1.05980583400786","1.62353612993903","687.153997039865","7212.3423197543","5.02543350210288","3.72734772159023","0.288224737401165","NaN","0","43.5","1786.52508042417","2056610.5","163.5","4.42295150323853","NaN",NA,"0","16.2634559672906","732.3710417491","359906.745022235","15.556349186104","6.2549980015984",NA,"6","11","10","7","13","4","18","19","1","4","1","6","18","2","5","2","6","13","9","8","5","4","1","11","2","2","15","15","15","11","1","1","1","3","1","1","3","4","2"
"348","24","2","3","6","20","0.125","0.25","13.4583333333333","6.875","6.58333333333333","605.990841579444","44200.7083333333","22.2916666666667","8.86231833386218","1.23814808711982","0.337831962346088","0.442325868464691","2.32152810743768","1.45400496380948","2.14509889640602","265.316046527394","5971.0215896675","4.12354497834155","3.58452913639912","0.502287120703364","NaN","0","56.5","734.596952626578","2075416.5","205.5","4.38540223912283","NaN",NA,"0","13.4350288425444","332.736740933498","360059.480086971","22.9809703885628","4.43412837006248",NA,"6","8","10","8","10","7","15","20","2","11","2","6","9","2","2","8","6","24","6","19","17","8","5","24","2","10","20","11","28","23","4","2","5","3","2","2","3","2","4"
"350","8","2","0","1","8","0","0.142857142857143","8.75","4.875","3.875","38473.117016317","77432.2857142857","14.875","6.89190668558803","0.875486049628593","0","0.377964473009227","4.71320333894961","2.99702233177246","2.3566016694748","97946.8171258854","82902.5760148909","10.8092222529785","5.15839091601771","0.521514354391814","NaN","0","38","3113.88612836439","NaN","120.5","17.0061027781595","NaN",NA,"0","0","125.62198484484",NA,"22.6274169979695","1.52804993287343",NA,"0","4","20","8","14","11","4","5","5","4","1","2","12","2","2","4","5","9","4","3","2","6","0","10","0","11","8","12","6","18","2","4","0","0","1","5","1","2","3"
