0 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,10 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,11 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,12 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,13 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,14 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,15 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,16 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,17 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,18 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,19 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,1 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,20 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,21 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,22 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,23 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,24 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,25 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,26 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,27 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,28 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,29 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,2 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,30 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,31 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,32 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,33 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,34 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,35 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,36 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,37 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,38 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,39 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,3 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,40 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,41 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,42 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,43 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,44 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,45 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,46 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,47 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,4 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,5 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,6 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,7 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,8 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz,9 ISOVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/HarvardOxford-cort-maxprob-thr50-1mm.nii.gz
,,0.0737649 [1979 voxels],0.078905 [8826 voxels],0.0529437 [6190 voxels],0.0631331 [1665 voxels],0.0386565 [4262 voxels],0.0804591 [4819 voxels],0.168599 [18464 voxels],0.180723 [5640 voxels],0.115838 [5153 voxels],0.116741 [79800 voxels],0.0922977 [4273 voxels],0.102959 [6557 voxels],0.132397 [42295 voxels],0.0790728 [16349 voxels],0.185782 [3860 voxels],0.155196 [4695 voxels],0.214335 [5733 voxels],0.299766 [5822 voxels],0.139373 [13488 voxels],0.174862 [12635 voxels],0.120743 [13909 voxels],0.138172 [10811 voxels],0.108863 [21586 voxels],0.133302 [2746 voxels],0.171348 [14037 voxels],0.19892 [4974 voxels],0.196281 [2568 voxels],0.172408 [12617 voxels],0.0380796 [1547 voxels],0.0785384 [5553 voxels],0.0794057 [5066 voxels],0.112378 [17093 voxels],0.0821528 [4478 voxels],0.19395 [1821 voxels],0.223995 [8200 voxels],0.215435 [3410 voxels],0.309928 [2076 voxels],0.275637 [1349 voxels],0.170313 [2056 voxels],0.197148 [275 voxels],0.104234 [15981 voxels],0.110281 [2377 voxels],0.105256 [3846 voxels],0.141607 [21246 voxels],0.159905 [23457 voxels],0.0735274 [1096 voxels]
,,0.05139 [1979 voxels],0.059322 [8826 voxels],0.047881 [6190 voxels],0.0326788 [1665 voxels],0.0370428 [4262 voxels],0.0350942 [4819 voxels],0.119106 [18464 voxels],0.121321 [5640 voxels],0.0766474 [5153 voxels],0.105547 [79800 voxels],0.0689668 [4273 voxels],0.0855898 [6557 voxels],0.10133 [42295 voxels],0.0528527 [16349 voxels],0.168828 [3860 voxels],0.231777 [4695 voxels],0.213287 [5733 voxels],0.29715 [5822 voxels],0.177733 [13488 voxels],0.20159 [12635 voxels],0.1015 [13909 voxels],0.146792 [10811 voxels],0.143019 [21586 voxels],0.163917 [2746 voxels],0.169569 [14037 voxels],0.22147 [4974 voxels],0.212488 [2568 voxels],0.202405 [12617 voxels],0.0455212 [1547 voxels],0.0872575 [5553 voxels],0.0939194 [5066 voxels],0.119098 [17093 voxels],0.0598059 [4478 voxels],0.137079 [1821 voxels],0.131354 [8200 voxels],0.152713 [3410 voxels],0.207772 [2076 voxels],0.203219 [1349 voxels],0.12617 [2056 voxels],0.34164 [275 voxels],0.11391 [15981 voxels],0.0802036 [2377 voxels],0.111637 [3846 voxels],0.127652 [21246 voxels],0.144415 [23457 voxels],0.0837151 [1096 voxels]
,,0.108457 [1979 voxels],0.0849911 [8826 voxels],0.0930718 [6190 voxels],0.0429643 [1665 voxels],0.0731183 [4262 voxels],0.0513752 [4819 voxels],0.149275 [18464 voxels],0.194111 [5640 voxels],0.139205 [5153 voxels],0.136736 [79800 voxels],0.145436 [4273 voxels],0.0792403 [6557 voxels],0.138102 [42295 voxels],0.0581635 [16349 voxels],0.137405 [3860 voxels],0.275985 [4695 voxels],0.369645 [5733 voxels],0.243854 [5822 voxels],0.276512 [13488 voxels],0.258226 [12635 voxels],0.0994484 [13909 voxels],0.208459 [10811 voxels],0.221844 [21586 voxels],0.191665 [2746 voxels],0.164145 [14037 voxels],0.289377 [4974 voxels],0.172279 [2568 voxels],0.238718 [12617 voxels],0.0878639 [1547 voxels],0.0783567 [5553 voxels],0.0784143 [5066 voxels],0.207452 [17093 voxels],0.0694665 [4478 voxels],0.136593 [1821 voxels],0.17967 [8200 voxels],0.143494 [3410 voxels],0.205189 [2076 voxels],0.204459 [1349 voxels],0.164409 [2056 voxels],0.344966 [275 voxels],0.13844 [15981 voxels],0.0874161 [2377 voxels],0.11245 [3846 voxels],0.207606 [21246 voxels],0.184222 [23457 voxels],0.0863118 [1096 voxels]
,,0.0761933 [1979 voxels],0.0789522 [8826 voxels],0.0470138 [6190 voxels],0.103929 [1665 voxels],0.0400889 [4262 voxels],0.0306301 [4819 voxels],0.133536 [18464 voxels],0.102629 [5640 voxels],0.0760008 [5153 voxels],0.104455 [79800 voxels],0.0577782 [4273 voxels],0.034944 [6557 voxels],0.0548022 [42295 voxels],0.0314053 [16349 voxels],0.184261 [3860 voxels],0.171899 [4695 voxels],0.231371 [5733 voxels],0.33289 [5822 voxels],0.205132 [13488 voxels],0.225313 [12635 voxels],0.0975137 [13909 voxels],0.165011 [10811 voxels],0.134407 [21586 voxels],0.0902881 [2746 voxels],0.162056 [14037 voxels],0.298448 [4974 voxels],0.20839 [2568 voxels],0.217089 [12617 voxels],0.201636 [1547 voxels],0.10171 [5553 voxels],0.0602888 [5066 voxels],0.1233 [17093 voxels],0.0763144 [4478 voxels],0.121853 [1821 voxels],0.132339 [8200 voxels],0.137102 [3410 voxels],0.320581 [2076 voxels],0.2094 [1349 voxels],0.111158 [2056 voxels],0.361316 [275 voxels],0.133223 [15981 voxels],0.0781545 [2377 voxels],0.106539 [3846 voxels],0.138267 [21246 voxels],0.173879 [23457 voxels],0.0391152 [1096 voxels]
,,0.0841407 [1979 voxels],0.127425 [8826 voxels],0.0784311 [6190 voxels],0.0458549 [1665 voxels],0.0810884 [4262 voxels],0.0989528 [4819 voxels],0.194161 [18464 voxels],0.205193 [5640 voxels],0.145961 [5153 voxels],0.189523 [79800 voxels],0.146535 [4273 voxels],0.158795 [6557 voxels],0.135856 [42295 voxels],0.0800115 [16349 voxels],0.232556 [3860 voxels],0.306669 [4695 voxels],0.329234 [5733 voxels],0.344758 [5822 voxels],0.308039 [13488 voxels],0.322931 [12635 voxels],0.158659 [13909 voxels],0.253654 [10811 voxels],0.204067 [21586 voxels],0.151152 [2746 voxels],0.246037 [14037 voxels],0.298803 [4974 voxels],0.301978 [2568 voxels],0.289946 [12617 voxels],0.0731829 [1547 voxels],0.137162 [5553 voxels],0.18304 [5066 voxels],0.213745 [17093 voxels],0.107825 [4478 voxels],0.293866 [1821 voxels],0.229295 [8200 voxels],0.243001 [3410 voxels],0.294994 [2076 voxels],0.32189 [1349 voxels],0.217561 [2056 voxels],0.448873 [275 voxels],0.16831 [15981 voxels],0.149657 [2377 voxels],0.146922 [3846 voxels],0.186567 [21246 voxels],0.207313 [23457 voxels],0.120163 [1096 voxels]
,,0.0433646 [1979 voxels],0.102189 [8826 voxels],0.0941505 [6190 voxels],0.049997 [1665 voxels],0.0469478 [4262 voxels],0.0889254 [4819 voxels],0.122854 [18464 voxels],0.133592 [5640 voxels],0.107332 [5153 voxels],0.11325 [79800 voxels],0.126393 [4273 voxels],0.078374 [6557 voxels],0.14137 [42295 voxels],0.088272 [16349 voxels],0.218891 [3860 voxels],0.152163 [4695 voxels],0.188449 [5733 voxels],0.369266 [5822 voxels],0.206947 [13488 voxels],0.198118 [12635 voxels],0.142546 [13909 voxels],0.177403 [10811 voxels],0.147568 [21586 voxels],0.165318 [2746 voxels],0.196327 [14037 voxels],0.288364 [4974 voxels],0.245415 [2568 voxels],0.224573 [12617 voxels],0.061745 [1547 voxels],0.0837077 [5553 voxels],0.0970763 [5066 voxels],0.0859471 [17093 voxels],0.103241 [4478 voxels],0.196417 [1821 voxels],0.224434 [8200 voxels],0.213619 [3410 voxels],0.300952 [2076 voxels],0.293386 [1349 voxels],0.238637 [2056 voxels],0.36537 [275 voxels],0.109427 [15981 voxels],0.161702 [2377 voxels],0.0908039 [3846 voxels],0.141103 [21246 voxels],0.166793 [23457 voxels],0.0763694 [1096 voxels]
,,0.0720176 [1979 voxels],0.0602519 [8826 voxels],0.0630124 [6190 voxels],0.0445579 [1665 voxels],0.0417977 [4262 voxels],0.0385562 [4819 voxels],0.133341 [18464 voxels],0.144087 [5640 voxels],0.097443 [5153 voxels],0.131004 [79800 voxels],0.106978 [4273 voxels],0.0601586 [6557 voxels],0.123753 [42295 voxels],0.0811979 [16349 voxels],0.21474 [3860 voxels],0.185709 [4695 voxels],0.190681 [5733 voxels],0.288677 [5822 voxels],0.167299 [13488 voxels],0.175549 [12635 voxels],0.0819161 [13909 voxels],0.145717 [10811 voxels],0.13959 [21586 voxels],0.140678 [2746 voxels],0.142208 [14037 voxels],0.216146 [4974 voxels],0.23276 [2568 voxels],0.2226 [12617 voxels],0.0720152 [1547 voxels],0.0679521 [5553 voxels],0.0761786 [5066 voxels],0.101691 [17093 voxels],0.0489673 [4478 voxels],0.114345 [1821 voxels],0.153981 [8200 voxels],0.145097 [3410 voxels],0.247251 [2076 voxels],0.158583 [1349 voxels],0.112647 [2056 voxels],0.295125 [275 voxels],0.129521 [15981 voxels],0.0901997 [2377 voxels],0.0978836 [3846 voxels],0.154296 [21246 voxels],0.159459 [23457 voxels],0.0699315 [1096 voxels]
,,0.111835 [1979 voxels],0.121094 [8826 voxels],0.0832319 [6190 voxels],0.0560852 [1665 voxels],0.0708881 [4262 voxels],0.0673533 [4819 voxels],0.148427 [18464 voxels],0.164896 [5640 voxels],0.104623 [5153 voxels],0.145409 [79800 voxels],0.111726 [4273 voxels],0.110118 [6557 voxels],0.161819 [42295 voxels],0.0942284 [16349 voxels],0.19633 [3860 voxels],0.318361 [4695 voxels],0.289108 [5733 voxels],0.327179 [5822 voxels],0.248965 [13488 voxels],0.236852 [12635 voxels],0.132593 [13909 voxels],0.225835 [10811 voxels],0.218404 [21586 voxels],0.287616 [2746 voxels],0.244838 [14037 voxels],0.29805 [4974 voxels],0.28552 [2568 voxels],0.279047 [12617 voxels],0.0800841 [1547 voxels],0.099369 [5553 voxels],0.0684106 [5066 voxels],0.165851 [17093 voxels],0.0673118 [4478 voxels],0.222386 [1821 voxels],0.225213 [8200 voxels],0.178091 [3410 voxels],0.323394 [2076 voxels],0.303182 [1349 voxels],0.181078 [2056 voxels],0.338439 [275 voxels],0.154813 [15981 voxels],0.097624 [2377 voxels],0.129474 [3846 voxels],0.181695 [21246 voxels],0.195709 [23457 voxels],0.0646534 [1096 voxels]
,,0.0815527 [1979 voxels],0.0743723 [8826 voxels],0.0614535 [6190 voxels],0.0512815 [1665 voxels],0.050455 [4262 voxels],0.0533355 [4819 voxels],0.1051 [18464 voxels],0.141394 [5640 voxels],0.0646645 [5153 voxels],0.135877 [79800 voxels],0.0752054 [4273 voxels],0.0638642 [6557 voxels],0.118787 [42295 voxels],0.0806324 [16349 voxels],0.228157 [3860 voxels],0.178402 [4695 voxels],0.194813 [5733 voxels],0.245048 [5822 voxels],0.166519 [13488 voxels],0.196999 [12635 voxels],0.0919415 [13909 voxels],0.151276 [10811 voxels],0.148773 [21586 voxels],0.15841 [2746 voxels],0.122873 [14037 voxels],0.239802 [4974 voxels],0.188289 [2568 voxels],0.216997 [12617 voxels],0.111183 [1547 voxels],0.0908297 [5553 voxels],0.0653484 [5066 voxels],0.126496 [17093 voxels],0.0677002 [4478 voxels],0.0714923 [1821 voxels],0.135523 [8200 voxels],0.130045 [3410 voxels],0.251657 [2076 voxels],0.209352 [1349 voxels],0.131468 [2056 voxels],0.370267 [275 voxels],0.120633 [15981 voxels],0.083206 [2377 voxels],0.070768 [3846 voxels],0.130856 [21246 voxels],0.197273 [23457 voxels],0.0319271 [1096 voxels]
,,0.0429674 [1979 voxels],0.0547413 [8826 voxels],0.0547327 [6190 voxels],0.0485543 [1665 voxels],0.0377493 [4262 voxels],0.0241583 [4819 voxels],0.0832939 [18464 voxels],0.0831986 [5640 voxels],0.0512642 [5153 voxels],0.0637661 [79800 voxels],0.0639075 [4273 voxels],0.0374703 [6557 voxels],0.06417 [42295 voxels],0.0389436 [16349 voxels],0.138159 [3860 voxels],0.144859 [4695 voxels],0.166451 [5733 voxels],0.347274 [5822 voxels],0.11933 [13488 voxels],0.177149 [12635 voxels],0.099689 [13909 voxels],0.176202 [10811 voxels],0.125718 [21586 voxels],0.150052 [2746 voxels],0.155696 [14037 voxels],0.246379 [4974 voxels],0.250515 [2568 voxels],0.209004 [12617 voxels],0.107938 [1547 voxels],0.0753823 [5553 voxels],0.0825513 [5066 voxels],0.0653691 [17093 voxels],0.0401305 [4478 voxels],0.111309 [1821 voxels],0.117237 [8200 voxels],0.143546 [3410 voxels],0.171304 [2076 voxels],0.225216 [1349 voxels],0.076143 [2056 voxels],0.221072 [275 voxels],0.0535888 [15981 voxels],0.0568212 [2377 voxels],0.0866571 [3846 voxels],0.0891131 [21246 voxels],0.145811 [23457 voxels],0.0705982 [1096 voxels]
,,0.0569759 [1979 voxels],0.0816144 [8826 voxels],0.0732102 [6190 voxels],0.073452 [1665 voxels],0.076076 [4262 voxels],0.038908 [4819 voxels],0.11826 [18464 voxels],0.139343 [5640 voxels],0.103102 [5153 voxels],0.124724 [79800 voxels],0.0784955 [4273 voxels],0.0514065 [6557 voxels],0.103829 [42295 voxels],0.0847653 [16349 voxels],0.220974 [3860 voxels],0.20338 [4695 voxels],0.196746 [5733 voxels],0.32459 [5822 voxels],0.207633 [13488 voxels],0.195008 [12635 voxels],0.112497 [13909 voxels],0.150267 [10811 voxels],0.117181 [21586 voxels],0.133235 [2746 voxels],0.180795 [14037 voxels],0.277637 [4974 voxels],0.155162 [2568 voxels],0.183171 [12617 voxels],0.0759392 [1547 voxels],0.0953251 [5553 voxels],0.0637583 [5066 voxels],0.112337 [17093 voxels],0.0602614 [4478 voxels],0.190972 [1821 voxels],0.171369 [8200 voxels],0.159886 [3410 voxels],0.218546 [2076 voxels],0.260613 [1349 voxels],0.175468 [2056 voxels],0.348482 [275 voxels],0.125166 [15981 voxels],0.0759319 [2377 voxels],0.0954557 [3846 voxels],0.125901 [21246 voxels],0.171502 [23457 voxels],0.10522 [1096 voxels]
,,0.0667251 [1979 voxels],0.0730958 [8826 voxels],0.0489216 [6190 voxels],0.0481426 [1665 voxels],0.0183043 [4262 voxels],0.0466445 [4819 voxels],0.140829 [18464 voxels],0.187732 [5640 voxels],0.0841069 [5153 voxels],0.134717 [79800 voxels],0.0698453 [4273 voxels],0.0789297 [6557 voxels],0.103238 [42295 voxels],0.0757188 [16349 voxels],0.213873 [3860 voxels],0.252151 [4695 voxels],0.298143 [5733 voxels],0.281663 [5822 voxels],0.200243 [13488 voxels],0.219842 [12635 voxels],0.0982528 [13909 voxels],0.206691 [10811 voxels],0.175052 [21586 voxels],0.188004 [2746 voxels],0.187787 [14037 voxels],0.248475 [4974 voxels],0.187067 [2568 voxels],0.236398 [12617 voxels],0.0609746 [1547 voxels],0.0639206 [5553 voxels],0.0722611 [5066 voxels],0.154119 [17093 voxels],0.0788891 [4478 voxels],0.0954537 [1821 voxels],0.19576 [8200 voxels],0.136092 [3410 voxels],0.317906 [2076 voxels],0.185023 [1349 voxels],0.127393 [2056 voxels],0.267279 [275 voxels],0.133169 [15981 voxels],0.129537 [2377 voxels],0.101948 [3846 voxels],0.161472 [21246 voxels],0.166792 [23457 voxels],0.0741322 [1096 voxels]
